Uses,count
 Bacterial eye infectionsTreatment of Bacterial infections,9
Treatment of Prostate cancerTreatment of EndometriosisTreatment of Uterine fibroidsTreatment of Precocious puberty (premature puberty),9
Acute Sore throatTreatment of Cough with mucus,9
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,9
Prevention of Infections,9
Treatment and prevention of Chronic obstructive pulmonary disease (COPD)Treatment of Sneezing and runny nose due to allergies,9
Treatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome,9
Treatment of Peptic ulcer disease,9
Treatment of Male hypogonadism,9
Treatment of Menstrual painTreatment of Abdominal cramp,9
 Diabetic nerve pain,9
Treatment of Edema,9
 Polycystic ovarian syndrome (PCOS),9
Treatment of CancerTreatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of Crohn’s disease,9
Treatment of Allergic conditions Appetite stimulant,9
Treatment of Low levels of sodium in the blood,9
Treatment of Muscle spasms of the urinary tract,9
Treatment of Kidney stone,8
Treatment of Idiopathic pulmonary fibrosis,8
 Nausea and vomiting due to chemotherapy,8
 Osteoarthritis Rheumatoid arthritis,8
Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,8
Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia,8
 Fungal infections of vagina,8
 Wound infection,8
 Allergic eye disease,8
Treatment of Migraine,8
 High cholesterol Prevention of heart attack and stroke,8
 Chronic obstructive pulmonary disease (COPD)Treatment of Asthma,8
Treatment of Glaucoma,8
Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,8
 Dandruff,8
 Rheumatoid arthritis Psoriatic arthritis,8
Treatment of Pulmonary arterial hypertension (PAH),8
Prevention of Premature Labor,8
Treatment of Ulcerative colitis,8
 Uterine fibroids,7
Treatment of Female infertility,7
Treatment of Polycystic ovarian syndrome (PCOS),7
"Treatment of Anxiety disorderTreatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression",7
 Pain relief Fever,7
 Herpes labialis,7
 Overactive bladder (OAB) symptoms,7
Treatment of Cancer,7
 Breast cancer Endometrial cancer,7
 Migraine,7
Prevention of Typhoid fever,7
 Pain relief Swelling,7
 Chronic liver disease Liver cirrhosis,7
 Bipolar depression,7
 Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection,7
 Prevention of Hepatitis B infection,7
Prevention of Blood clots,7
Treatment of Post menopausal osteoporosis,7
 Immunoglobulins deficiency,7
Treatment and prevention of Sneezing and runny nose due to allergiesTreatment of Nasal congestion (blocked nose)Treatment of Nasal polyps,7
Treatment of Iron deficiency anemia,7
 Mania Bipolar disorder,7
 Schizophrenia Depression Bipolar disorder,7
 Syndromic treatment of vaginal discharge,7
Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis,6
 High blood pressure with high cholesterol,6
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of Arrhythmia,6
 Diseases of respiratory tract,6
Treatment of Wound infection,6
 Hypertension (high blood pressure) Angina (heart-related chest pain) Prevention of heart attack and stroke,6
Treatment of Indigestion,6
Treatment of Worm infections,6
 Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,6
 Carnitine deficiency,6
Treatment of Bacterial infectionsTreatment of Parasitic infections,6
 Bacterial infections of urinary tract,6
Treatment of IndigestionTreatment of NauseaTreatment of Vomiting,6
Treatment and prevention of Asthma,6
Treatment of Bacterial & parasitic infectionsTreatment of DiarrheaTreatment of Dysentery,6
Treatment of Vertigo,6
 Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,6
Prevention of Tetanus,6
Treatment of Rheumatoid arthritisTreatment of Osteoarthritis,6
Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease,6
Treatment of Intermittent claudication,6
Treatment and prevention of postmenopausal Osteoporosis,6
 Non-small cell lung cancer,6
Treatment of Peptic ulcer diseaseTreatment of Bacterial infections,6
 Prevention of diarrhea due to rotavirus,5
 Malaria,5
 Anxiety disorder,5
Treatment of NauseaTreatment of VomitingTreatment of IndigestionTreatment of Heartburn,5
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of StrokePrevention of Migraine,5
Treatment of Primary biliary cirrhosis,5
 Iron deficiency anemia,5
 Bacterial eye / ear infectionsTreatment of Bacterial infections,5
Prevention of Heart attackPrevention of Stroke,5
Treatment of Chronic hepatitis B virus (HBV) infection,5
 Arrhythmia,5
 Atopic dermatitis,5
Treatment of Pernicious Anemia Vitamin B12 deficiency,5
 Fungal infections of mouth (Thrush)Treatment of Fungal infections,5
Treatment and prevention of Kidney stone,5
 Osteoporosis Hypercalcemia,5
 Cognitive enhancer,5
Prevention of Infections after chemotherapy,5
Prevention of Chickenpox,5
 Appetite stimulant,5
Treatment of Coronavirus disease (COVID-19),5
Treatment of PilesTreatment of Varicose veins,5
Treatment of Mouth infectionTreatment of Sore throatTreatment of Dry mouthTreatment and prevention of Wound infection,5
Treatment of Parkinson's diseaseTreatment of Drug induced abnormal movements,5
 Skin conditions with inflammation & itchingTreatment of Asthma,5
Treatment of Functional dyspepsia,5
 Multiple myeloma Lepra reaction,5
